"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=A5_Part2"
"main", "5", "SYSTEM", "Method Call", " caller=SYSTEM, target=A5_Part2#main:1"
"main", "6", "SYSTEM", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "SYSTEM", "New Object", " object=java.lang.String[]:1"
"main", "9", "SYSTEM", "Variable Write", " context=A5_Part2#main:1, args=java.lang.String[]:1"
"main", "10", "SYSTEM", "Line Step", " <source unavailable>"
"main", "11", "SYSTEM", "Type Load", " class=Scheduler.Process"
"main", "12", "SYSTEM", "Type Load", " class=Producer"
"main", "13", "SYSTEM", "New Object", " object=Producer:1"
"main", "14", "SYSTEM", "Method Call", " caller=A5_Part2#main:1, target=Producer:1#Producer:1"
"main", "15", "SYSTEM", "Method Entered", " "
"main", "16", "SYSTEM", "Line Step", " <source unavailable>"
"main", "17", "SYSTEM", "Method Exit", " returner=Producer:1#Producer:1, value=<void>"
"main", "18", "SYSTEM", "Method Returned", " "
"main", "19", "SYSTEM", "Line Step", " <source unavailable>"
"main", "20", "SYSTEM", "Variable Write", " context=A5_Part2#main:1, p=Producer:1"
"main", "21", "SYSTEM", "Line Step", " <source unavailable>"
"main", "22", "SYSTEM", "Type Load", " class=Consumer"
"main", "23", "SYSTEM", "New Object", " object=Consumer:1"
"main", "24", "SYSTEM", "Method Call", " caller=A5_Part2#main:1, target=Consumer:1#Consumer:1"
"main", "25", "SYSTEM", "Method Entered", " "
"main", "26", "SYSTEM", "Line Step", " <source unavailable>"
"main", "27", "SYSTEM", "Method Exit", " returner=Consumer:1#Consumer:1, value=<void>"
"main", "28", "SYSTEM", "Method Returned", " "
"main", "29", "SYSTEM", "Line Step", " <source unavailable>"
"main", "30", "SYSTEM", "Variable Write", " context=A5_Part2#main:1, c=Consumer:1"
"main", "31", "SYSTEM", "Line Step", " <source unavailable>"
"main", "32", "SYSTEM", "Type Load", " class=Circular_Buffer"
"main", "33", "SYSTEM", "New Object", " object=Circular_Buffer:1"
"main", "34", "Circular_Buffer.java:16", "Method Call", " caller=A5_Part2#main:1, target=Circular_Buffer:1#Circular_Buffer:1"
"main", "35", "Circular_Buffer.java:53", "Method Entered", " "
"main", "36", "Circular_Buffer.java:51", "Line Step", " file=Circular_Buffer.java, line=51"
"main", "37", "Circular_Buffer.java:53", "Line Step", " file=Circular_Buffer.java, line=53"
"main", "38", "Circular_Buffer.java:53", "Field Write", " context=Circular_Buffer:1, n=5"
"main", "39", "Circular_Buffer.java:54", "Line Step", " file=Circular_Buffer.java, line=54"
"main", "40", "Circular_Buffer.java:54", "New Object", " object=int[]:1"
"main", "41", "Circular_Buffer.java:54", "Field Write", " context=int[]:1, 0=0"
"main", "42", "Circular_Buffer.java:54", "Field Write", " context=int[]:1, 1=0"
"main", "43", "Circular_Buffer.java:54", "Field Write", " context=int[]:1, 2=0"
"main", "44", "Circular_Buffer.java:54", "Field Write", " context=int[]:1, 3=0"
"main", "45", "Circular_Buffer.java:54", "Field Write", " context=int[]:1, 4=0"
"main", "46", "Circular_Buffer.java:54", "Field Write", " context=Circular_Buffer:1, data=int[]:1"
"main", "47", "Circular_Buffer.java:55", "Line Step", " file=Circular_Buffer.java, line=55"
"main", "48", "Circular_Buffer.java:55", "Field Write", " context=Circular_Buffer:1, p=0"
"main", "49", "Circular_Buffer.java:56", "Line Step", " file=Circular_Buffer.java, line=56"
"main", "50", "Circular_Buffer.java:56", "Field Write", " context=Circular_Buffer:1, g=0"
"main", "51", "Circular_Buffer.java:57", "Line Step", " file=Circular_Buffer.java, line=57"
"main", "52", "Circular_Buffer.java:57", "Field Write", " context=Circular_Buffer:1, count=0"
"main", "53", "Circular_Buffer.java:51", "Line Step", " file=Circular_Buffer.java, line=51"
"main", "54", "Circular_Buffer.java:51", "Method Exit", " returner=Circular_Buffer:1#Circular_Buffer:1, value=<void>"
"main", "55", "Circular_Buffer.java:16", "Method Returned", " "
"main", "56", "Circular_Buffer.java:16", "Line Step", " file=Circular_Buffer.java, line=16"
"main", "57", "Circular_Buffer.java:16", "Variable Write", " context=A5_Part2#main:1, b=Circular_Buffer:1"
"main", "58", "Circular_Buffer.java:18", "Line Step", " file=Circular_Buffer.java, line=18"
"main", "59", "Circular_Buffer.java:18", "New Object", " object=Scheduler.Process[]:1"
"main", "60", "Circular_Buffer.java:18", "Field Write", " context=Scheduler.Process[]:1, 0=Producer:1"
"main", "61", "Circular_Buffer.java:18", "Field Write", " context=Scheduler.Process[]:1, 1=Consumer:1"
"main", "62", "Circular_Buffer.java:18", "Field Write", " context=Scheduler.Process[]:1, 2=Circular_Buffer:1"
"main", "63", "Circular_Buffer.java:18", "Variable Write", " context=A5_Part2#main:1, arr=Scheduler.Process[]:1"
"main", "64", "Circular_Buffer.java:19", "Line Step", " file=Circular_Buffer.java, line=19"
"Thread-1", "65", "SYSTEM", "Thread Start", " Thread-1 (47)"
"Thread-1", "66", "SYSTEM", "Method Call", " caller=SYSTEM, target=LProducer;.run()"
"Thread-1", "67", "SYSTEM", "Method Call", " caller=LProducer;.run(), target=Producer:1#run:1"
"Thread-1", "68", "Circular_Buffer.java:30", "Method Entered", " "
"Thread-2", "69", "SYSTEM", "Thread Start", " Thread-2 (48)"
"Thread-2", "70", "SYSTEM", "Method Call", " caller=SYSTEM, target=LConsumer;.run()"
"Thread-2", "71", "SYSTEM", "Method Call", " caller=LConsumer;.run(), target=Consumer:1#run:1"
"Thread-2", "72", "Circular_Buffer.java:39", "Method Entered", " "
"main", "73", "Circular_Buffer.java:19", "Variable Write", " context=A5_Part2#main:1, s=Scheduler.Scheduler (name=Thread-0, id=50)"
"main", "74", "Circular_Buffer.java:22", "Line Step", " file=Circular_Buffer.java, line=22"
"Thread-3", "75", "SYSTEM", "Thread Start", " Thread-3 (49)"
"Thread-3", "76", "SYSTEM", "Method Call", " caller=SYSTEM, target=LCircular_Buffer;.run()"
"Thread-3", "77", "SYSTEM", "Method Call", " caller=LCircular_Buffer;.run(), target=Circular_Buffer:1#run:1"
"Thread-3", "78", "Circular_Buffer.java:78", "Method Entered", " "
"Thread-1", "79", "Circular_Buffer.java:30", "Variable Write", " context=Producer:1#run:1, v=1"
"Thread-1", "80", "Circular_Buffer.java:31", "Line Step", " file=Circular_Buffer.java, line=31"
"main", "81", "Circular_Buffer.java:24", "Line Step", " file=Circular_Buffer.java, line=24"
"Thread-3", "82", "Circular_Buffer.java:82", "Field Read", " context=Circular_Buffer:1, count"
"main", "83", "Circular_Buffer.java:24", "Method Exit", " returner=A5_Part2#main:1, value=<void>"
"Thread-3", "84", "Circular_Buffer.java:84", "Line Step", " file=Circular_Buffer.java, line=84"
"main", "85", "SYSTEM", "Method Returned", " "
"main", "86", "SYSTEM", "Thread End", " "
"Thread-3", "87", "Circular_Buffer.java:85", "Line Step", " file=Circular_Buffer.java, line=85"
"Thread-1", "88", "Circular_Buffer.java:30", "Line Step", " file=Circular_Buffer.java, line=30"
"Thread-3", "89", "Circular_Buffer.java:85", "Method Call", " caller=Circular_Buffer:1#run:1, target=Circular_Buffer:1#put:1"
"Thread-3", "90", "Circular_Buffer.java:60", "Method Entered", " "
"Thread-3", "91", "Circular_Buffer.java:60", "Variable Write", " context=Circular_Buffer:1#put:1, v=1"
"Thread-3", "92", "Circular_Buffer.java:61", "Line Step", " file=Circular_Buffer.java, line=61"
"Thread-1", "93", "Circular_Buffer.java:30", "Variable Write", " context=Producer:1#run:1, v=2"
"Thread-1", "94", "Circular_Buffer.java:31", "Line Step", " file=Circular_Buffer.java, line=31"
"Thread-3", "95", "Circular_Buffer.java:61", "Field Read", " context=Circular_Buffer:1, data"
"Thread-3", "96", "Circular_Buffer.java:61", "Field Read", " context=Circular_Buffer:1, p"
"Thread-2", "97", "Circular_Buffer.java:41", "Line Step", " file=Circular_Buffer.java, line=41"
"Thread-3", "98", "Circular_Buffer.java:61", "Field Write", " context=int[]:1, 0=1"
"Thread-3", "99", "Circular_Buffer.java:62", "Line Step", " file=Circular_Buffer.java, line=62"
"Thread-2", "100", "Circular_Buffer.java:43", "Line Step", " file=Circular_Buffer.java, line=43"
"Thread-3", "101", "Circular_Buffer.java:62", "Field Read", " context=Circular_Buffer:1, p"
"Thread-3", "102", "Circular_Buffer.java:62", "Field Write", " context=Circular_Buffer:1, p=1"
"Thread-3", "103", "Circular_Buffer.java:63", "Line Step", " file=Circular_Buffer.java, line=63"
"Thread-3", "104", "Circular_Buffer.java:63", "Field Write", " context=Circular_Buffer:1, state=""Put:1"""
"Thread-3", "105", "Circular_Buffer.java:64", "Line Step", " file=Circular_Buffer.java, line=64"
"Thread-3", "106", "Circular_Buffer.java:64", "Field Read", " context=Circular_Buffer:1, state"
"Thread-3", "107", "Circular_Buffer.java:65", "Line Step", " file=Circular_Buffer.java, line=65"
"Thread-3", "108", "Circular_Buffer.java:65", "Field Read", " context=Circular_Buffer:1, count"
